ImageNumber,ObjectNumber,Distance_Centroid_Cells,Distance_Centroid_Nuclei,Parent_Cells,Parent_Nuclei
1,521,50.17993320122959,32.712789493071334,4,4
1,522,27.36418420584137,24.894632642396015,4,4
1,523,26.479612160736437,27.670553065557836,4,4
1,524,91.74676238695197,77.21287761735478,5,5
1,525,67.24558109970029,56.62542050045157,5,5
1,526,28.582364064839865,49.76256956561946,3,3
1,527,24.8658885805299,45.80316590308675,3,3
1,528,36.20078577679621,49.15199791481247,3,3
1,529,51.09128400132953,58.92754150695779,3,3
1,530,58.741172489557435,64.76822391853436,3,3
1,531,60.38879250999662,66.01148400594101,3,3
1,532,34.07697532682129,17.646794042669605,4,4
1,533,29.599040247340863,19.013295714844148,4,4
1,534,50.8818978910531,47.946857188312926,5,5
1,535,50.19812496562498,49.81353345330701,5,5
1,536,52.02759696188487,60.61291355696174,5,5
1,537,75.11336658865068,78.65937531258945,3,3
1,538,55.29307147050821,34.149663059549184,4,4
1,539,40.64710241181527,21.33065433555677,4,4
1,540,48.52276846751347,52.82603502292828,5,5
1,541,32.42464792178505,53.30507565963184,3,3
1,542,51.54038649295081,29.49964964942901,4,4
1,543,47.434403299341085,25.9494054748929,4,4
1,544,98.76344146317304,83.40607746205096,5,5
1,545,62.728462567605014,52.231704080684,5,5
1,546,36.41246894556293,56.8834460526911,3,3
1,547,31.620644108978034,49.103565966028654,3,3
1,548,36.69776912277164,50.9415574417056,3,3
1,549,44.85326420962724,55.69682191815979,3,3
1,550,77.69842454656397,81.54380463293354,3,3
1,551,40.3016833968295,16.50617042117617,4,4
1,552,32.9265140213443,30.801242841063186,4,4
1,553,66.5950430157115,54.71135637658988,5,5
1,554,54.555676884660905,46.5266333359397,5,5
1,555,49.216877482061996,45.082349676934406,5,5
1,556,55.14399131147421,66.55049723049672,5,5
1,557,65.13133681931534,nan,3,0
1,558,35.374479467036004,56.34094994275334,3,3
1,559,28.260176791361932,49.532863851724464,3,3
1,560,37.71366778066192,12.978431524825165,4,4
1,561,46.29125530948015,44.04537650307245,5,5
1,562,64.09907401012138,77.48195363005802,5,5
1,563,32.60410259858123,53.8724191983251,3,3
1,564,29.474370282961335,50.47857093162338,3,3
1,565,45.11504413068591,20.073550910842805,4,4
1,566,40.43867505560995,13.226874623938668,4,4
1,567,36.24213373844951,12.4999266409049,4,4
1,568,32.01490830089452,26.891369959669195,4,4
